,Unnamed: 0,name,message
26112,26112,EREUM SUNG,바루스 저걸 점멸 반응 못하네 프로 맞냐 ㅋㅋ
26113,26113,만두,/싱크조정
26114,26114,이네스탈출중,ㅇㄴㅇㄴ
26115,26115,JSLEE,mvp는 오너다 진짜 와
26116,26116,김민재,ㅆ발싱크
26117,26117,황성하,황족정글! 
26118,26118,김윤식,트타냐 트리냐 ㅋㅋ
26119,26119,예스맨,트리??
26120,26120,조동우,대황너
26121,26121,구드론,/싱크조정
26122,26122,GGB,마오부터 죽이는게 맞아
26123,26123,RUN,트리?
26124,26124,Zzz_SQL,와 게임 수준 실화냐 와ㅠㅠㅠ
26125,26125,닌텐도전문가,/싱크조정
26126,26126,BRED S,/싱크조정
26127,26127,노답인생,쟤들은 시야를 안따냐? ㅋㅋㅋㅋ
26128,26128,멍떵,/싱크조정
26129,26129,sun lee,미쳤네
26130,26130,hilo,오더도ㄷㄷ
26131,26131,학장맨,/싱크
26132,26132,blue radish,와 근데 저정도면 반응 못할만함
26133,26133,Daniel Noh,저게 된다고??
26134,26134,어드미니스트레이터,페이즈가 확실히 우승할 원딜은 아니네
26135,26135,박준우,야 미드 아차차
26136,26136,엌ㅋㅋ,쟤 속으로 지렸고라고 했다
26137,26137,만세동산,오너... 협곡의 금빛섬광이네.
26138,26138,envy,황글오더ㄷㄷ
26139,26139,한희수,진짜 오신은 ㄹㅈㄷ다
26140,26140,개꿀푸우,딜러를 진영에서 밀어내는 플레이 진짜 대단하다
26141,26141,JEC,/싱크조정
26142,26142,God Shu,/싱크로 소환 플뢰르 드 바로네스
26143,26143,전상우,/싱크조정
26144,26144,엉클조,왜 팀보이스 티원만 보여줌?
26145,26145,ㅇㅇ,소리
26146,26146,고탱고탱,ㅁㄷㅊㅇ
26147,26147,김보성,그냥 오너가 월즈부터 신이네 ㅋㅋ
26148,26148,장승준,싱크자비좀
26149,26149,설프르솔렝,언제적 초비냐
26150,26150,맛있는코코아,천둥벼락발차기
26151,26151,이응,진짜 초시계 없는게 크네 ㅋㅋ
26152,26152,DongHyun Kim,/싱크조정
26153,26153,한도경,/싱크조정
26154,26154,soccer run,28만명..
26155,26155,L. H.,1. 트리 2. 트타
26156,26156,감동,트리 트타 둘다 쓰네
26157,26157,user-rf1mr1cw4l,대 오 너
26158,26158,Leo,새로고침하면 싱크 맞아여!!!!!!!!!!!!!!!!!!!!!
26159,26159,PASS FADE,트...리?
26160,26160,동전,뭐??트리? 넌 pog압수
26161,26161,박승우,뭔데 영상이랑 소리랑 다른데
26162,26162,purple kim,/싱크조정
26163,26163,러너,오너 오너 오너!!!!!!!!!!!!!!!!!!!!!!!!!!! 그거야!!!!!!!!!!!!!!!!!
26164,26164,종수리,트리? 트타?
26165,26165,김규재,/싱크조정
26166,26166,llllIIIIlllI,트리? 대상혁 ㅋㅋㅋ
26167,26167,리티에,새로고침하면 싱크 맞춰짐
26168,26168,Edwin K,/싱조크절
26169,26169,ㅇㅇ,진도가 너무 빨라요...
26170,26170,levie30,오너가 기가막혔네
26171,26171,질투,/싱크조정
26172,26172,김씨는못말려,/싱크조정
26173,26173,S A,/싱크조정
26174,26174,준식,오너 잘한다
26175,26175,초식이,오너랑 페이커는 그냥 서로 법칙을 만든거같에
26176,26176,JY B,/샹크스정
26177,26177,1 1,바루스 입장에서도 보여줘라
26178,26178,포도,세체정 ㄷㄷ
26179,26179,요네사일러스크라켄,/싱크조정
